consumption_ID;country_ID;year_ID;category_ID;consumption_MEUR
IT15_C02;IT;15;C02;41118.7
IT16_C02;IT;16;C02;43033.1
IT17_C02;IT;17;C02;44223.7
IT18_C02;IT;18;C02;44946.5
IT19_C02;IT;19;C02;45898.5
IT20_C02;IT;20;C02;44866.6
IT21_C02;IT;21;C02;46252.7
IT22_C02;IT;22;C02;48533.3
IT23_C02;IT;23;C02;50046.4
CY10_C02;CY;10;C02;731.9
CY11_C02;CY;11;C02;716.9
CY12_C02;CY;12;C02;688.2
CY13_C02;CY;13;C02;672.4
CY14_C02;CY;14;C02;678.5
CY15_C02;CY;15;C02;701.8
CY16_C02;CY;16;C02;717.8
CY17_C02;CY;17;C02;754.2
CY18_C02;CY;18;C02;743.4
CY19_C02;CY;19;C02;753.4
CY20_C02;CY;20;C02;705.3
CY21_C02;CY;21;C02;737.9
CY22_C02;CY;22;C02;815.6
CY23_C02;CY;23;C02;850.2
LV10_C02;LV;10;C02;992.9
LV11_C02;LV;11;C02;949.5
LV12_C02;LV;12;C02;883.5
LV13_C02;LV;13;C02;996.5
LV14_C02;LV;14;C02;992.9
LV15_C02;LV;15;C02;1060.5
LV16_C02;LV;16;C02;1149.1
LV17_C02;LV;17;C02;1186.7
LV18_C02;LV;18;C02;1343.4
LV19_C02;LV;19;C02;1368.4
LV20_C02;LV;20;C02;1437.1
LV21_C02;LV;21;C02;1423.7
LV22_C02;LV;22;C02;1496.4
LV23_C02;LV;23;C02;1610.9
HU10_C02;HU;10;C02;3844.4
HU11_C02;HU;11;C02;3960.7
HU12_C02;HU;12;C02;4179.3
HU13_C02;HU;13;C02;4240.9
HU14_C02;HU;14;C02;4124.6
HU15_C02;HU;15;C02;4170.3
HU16_C02;HU;16;C02;4255.6
HU17_C02;HU;17;C02;4708.1
HU18_C02;HU;18;C02;4960.6
HU19_C02;HU;19;C02;5412.4
HU20_C02;HU;20;C02;5095.8
HU21_C02;HU;21;C02;5560.9
HU22_C02;HU;22;C02;5768.2
HU23_C02;HU;23;C02;6378.7
MT10_C02;MT;10;C02;170.5
MT11_C02;MT;11;C02;178.7
MT12_C02;MT;12;C02;188.7
MT13_C02;MT;13;C02;187.7
MT14_C02;MT;14;C02;210.2
MT15_C02;MT;15;C02;219.0
MT16_C02;MT;16;C02;231.8
MT17_C02;MT;17;C02;247.8
MT18_C02;MT;18;C02;273.2
MT19_C02;MT;19;C02;273.7
MT20_C02;MT;20;C02;252.1
MT21_C02;MT;21;C02;270.1
MT22_C02;MT;22;C02;316.4
MT23_C02;MT;23;C02;349.2
NL10_C02;NL;10;C02;8586.0
NL11_C02;NL;11;C02;9000.0
NL12_C02;NL;12;C02;9505.0
NL13_C02;NL;13;C02;9860.0
NL14_C02;NL;14;C02;10046.0
NL15_C02;NL;15;C02;10412.0
NL16_C02;NL;16;C02;10662.0
NL17_C02;NL;17;C02;10854.0
NL18_C02;NL;18;C02;11224.0
NL19_C02;NL;19;C02;11259.0
NL20_C02;NL;20;C02;12226.0
NL21_C02;NL;21;C02;13067.0
NL22_C02;NL;22;C02;13262.0
NL23_C02;NL;23;C02;13731.0
AT10_C02;AT;10;C02;5313.8
AT11_C02;AT;11;C02;5444.0
AT12_C02;AT;12;C02;5610.6
AT13_C02;AT;13;C02;5699.9
AT14_C02;AT;14;C02;5694.8
AT15_C02;AT;15;C02;5835.5
AT16_C02;AT;16;C02;5910.2
AT17_C02;AT;17;C02;6116.5
AT18_C02;AT;18;C02;6293.5
AT19_C02;AT;19;C02;6438.6
AT20_C02;AT;20;C02;6877.2
AT21_C02;AT;21;C02;7313.9
AT22_C02;AT;22;C02;7348.8
AT23_C02;AT;23;C02;7631.8
PT10_C02;PT;10;C02;3860.8
PT11_C02;PT;11;C02;3915.0
PT12_C02;PT;12;C02;3742.4
PT13_C02;PT;13;C02;3673.1
PT14_C02;PT;14;C02;3759.3
PT15_C02;PT;15;C02;3765.2
PT16_C02;PT;16;C02;4048.6
PT17_C02;PT;17;C02;4227.4
PT18_C02;PT;18;C02;4490.2
PT19_C02;PT;19;C02;4479.9
PT20_C02;PT;20;C02;4563.3
PT21_C02;PT;21;C02;4686.4
PT22_C02;PT;22;C02;5031.7
PT23_C02;PT;23;C02;5377.483139155821
SI10_C02;SI;10;C02;1112.4
SI11_C02;SI;11;C02;1194.1
SI12_C02;SI;12;C02;1184.5
SI13_C02;SI;13;C02;1147.0
SI14_C02;SI;14;C02;1171.5
SI15_C02;SI;15;C02;1194.1
SI16_C02;SI;16;C02;1186.0
SI17_C02;SI;17;C02;1210.5
SI18_C02;SI;18;C02;1218.4
SI19_C02;SI;19;C02;1235.7
SI20_C02;SI;20;C02;1176.0
SI21_C02;SI;21;C02;1244.3
SI22_C02;SI;22;C02;1427.1
SI23_C02;SI;23;C02;1473.2
SE10_C02;SE;10;C02;6173.9
SE11_C02;SE;11;C02;6604.7
SE12_C02;SE;12;C02;7179.0
SE13_C02;SE;13;C02;7401.5
SE14_C02;SE;14;C02;7222.0
SE15_C02;SE;15;C02;7300.3
SE16_C02;SE;16;C02;7315.4
SE17_C02;SE;17;C02;7326.9
SE18_C02;SE;18;C02;7272.8
SE19_C02;SE;19;C02;7166.8
SE20_C02;SE;20;C02;7678.9
SE21_C02;SE;21;C02;8160.0
SE22_C02;SE;22;C02;8172.4
SE23_C02;SE;23;C02;7252.8
EU10_C03;EU;10;C03;303390.4
EU11_C03;EU;11;C03;308614.6
EU12_C03;EU;12;C03;305203.1
EU13_C03;EU;13;C03;306650.4
EU14_C03;EU;14;C03;314956.3
EU15_C03;EU;15;C03;320459.2
