income_ID;country_ID;year_ID;age_ID;gender_ID;median_income_MEUR
BG23_A25_F;BG;23;A25;F;7150.0
BG24_A25_F;BG;24;A25;F;8578.0
CZ15_A25_F;CZ;15;A25;F;7905.0
CZ16_A25_F;CZ;16;A25;F;8493.0
CZ17_A25_F;CZ;17;A25;F;8942.0
CZ18_A25_F;CZ;18;A25;F;9754.0
CZ19_A25_F;CZ;19;A25;F;10768.0
CZ20_A25_F;CZ;20;A25;F;11611.0
CZ21_A25_F;CZ;21;A25;F;11487.0
CZ22_A25_F;CZ;22;A25;F;13059.0
CZ23_A25_F;CZ;23;A25;F;14652.0
CZ24_A25_F;CZ;24;A25;F;15917.0
DK15_A25_F;DK;15;A25;F;29843.0
DK16_A25_F;DK;16;A25;F;30676.0
DK17_A25_F;DK;17;A25;F;31448.0
DK18_A25_F;DK;18;A25;F;31599.0
DK19_A25_F;DK;19;A25;F;32542.0
DK20_A25_F;DK;20;A25;F;31965.0
DK21_A25_F;DK;21;A25;F;33693.0
DK22_A25_F;DK;22;A25;F;34950.0
DK23_A25_F;DK;23;A25;F;35013.0
DK24_A25_F;DK;24;A25;F;36287.0
DE15_A25_F;DE;15;A25;F;21777.0
DE16_A25_F;DE;16;A25;F;22394.0
DE17_A25_F;DE;17;A25;F;23016.0
DE18_A25_F;DE;18;A25;F;23937.0
DE19_A25_F;DE;19;A25;F;24711.0
DE20_A25_F;DE;20;A25;F;27400.0
DE21_A25_F;DE;21;A25;F;26370.0
DE22_A25_F;DE;22;A25;F;26371.0
DE23_A25_F;DE;23;A25;F;27774.0
DE24_A25_F;DE;24;A25;F;29426.0
EE15_A25_F;EE;15;A25;F;9365.0
EE16_A25_F;EE;16;A25;F;10065.0
EE17_A25_F;EE;17;A25;F;11166.0
EE18_A25_F;EE;18;A25;F;12277.0
EE19_A25_F;EE;19;A25;F;13387.0
EE20_A25_F;EE;20;A25;F;14174.0
EE21_A25_F;EE;21;A25;F;14903.0
EE22_A25_F;EE;22;A25;F;17760.0
EE23_A25_F;EE;23;A25;F;17721.0
EE24_A25_F;EE;24;A25;F;18492.0
IE15_A25_F;IE;15;A25;F;23152.0
IE16_A25_F;IE;16;A25;F;24025.0
IE17_A25_F;IE;17;A25;F;24824.0
IE18_A25_F;IE;18;A25;F;25710.0
IE19_A25_F;IE;19;A25;F;26768.0
IE20_A25_F;IE;20;A25;F;28233.0
IE21_A25_F;IE;21;A25;F;30331.0
IE22_A25_F;IE;22;A25;F;31099.0
IE23_A25_F;IE;23;A25;F;31388.0
IE24_A25_F;IE;24;A25;F;34181.0
GR15_A25_F;GR;15;A25;F;7462.0
GR16_A25_F;GR;16;A25;F;7400.0
GR17_A25_F;GR;17;A25;F;7575.0
GR18_A25_F;GR;18;A25;F;7891.0
GR19_A25_F;GR;19;A25;F;8270.0
GR20_A25_F;GR;20;A25;F;8717.0
GR21_A25_F;GR;21;A25;F;8850.0
GR22_A25_F;GR;22;A25;F;9848.0
GR23_A25_F;GR;23;A25;F;10334.0
GR24_A25_F;GR;24;A25;F;11347.0
ES15_A25_F;ES;15;A25;F;13452.0
ES16_A25_F;ES;16;A25;F;13888.0
ES17_A25_F;ES;17;A25;F;14212.0
ES18_A25_F;ES;18;A25;F;14846.0
ES19_A25_F;ES;19;A25;F;14921.0
ES20_A25_F;ES;20;A25;F;16109.0
ES21_A25_F;ES;21;A25;F;16010.0
ES22_A25_F;ES;22;A25;F;16794.0
ES23_A25_F;ES;23;A25;F;18295.0
ES24_A25_F;ES;24;A25;F;18941.0
FR15_A25_F;FR;15;A25;F;21438.0
FR16_A25_F;FR;16;A25;F;21671.0
FR17_A25_F;FR;17;A25;F;21883.0
FR18_A25_F;FR;18;A25;F;22033.0
FR19_A25_F;FR;19;A25;F;22623.0
FR20_A25_F;FR;20;A25;F;22517.0
FR21_A25_F;FR;21;A25;F;23250.0
FR22_A25_F;FR;22;A25;F;23611.0
FR23_A25_F;FR;23;A25;F;24827.0
FR24_A25_F;FR;24;A25;F;26490.0
HR15_A25_F;HR;15;A25;F;5973.0
HR16_A25_F;HR;16;A25;F;6364.0
HR17_A25_F;HR;17;A25;F;6804.0
HR18_A25_F;HR;18;A25;F;7392.0
HR19_A25_F;HR;19;A25;F;7979.0
HR20_A25_F;HR;20;A25;F;8704.0
HR21_A25_F;HR;21;A25;F;8988.0
HR22_A25_F;HR;22;A25;F;9844.0
HR23_A25_F;HR;23;A25;F;10840.0
HR24_A25_F;HR;24;A25;F;13603.0
IT15_A25_F;IT;15;A25;F;15565.0
IT16_A25_F;IT;16;A25;F;15584.0
IT17_A25_F;IT;17;A25;F;16059.0
