consumption_ID;country_ID;year_ID;category_ID;KPI_name;value
MT21_C01;MT;21;C01;consumption_MEUR;932.3
MT22_C01;MT;22;C01;consumption_MEUR;1107.0
MT23_C01;MT;23;C01;consumption_MEUR;1273.6
NL10_C01;NL;10;C01;consumption_MEUR;30475.0
NL11_C01;NL;11;C01;consumption_MEUR;31575.0
NL12_C01;NL;12;C01;consumption_MEUR;32790.0
NL13_C01;NL;13;C01;consumption_MEUR;33377.0
NL14_C01;NL;14;C01;consumption_MEUR;33660.0
NL15_C01;NL;15;C01;consumption_MEUR;34744.0
NL16_C01;NL;16;C01;consumption_MEUR;35411.0
NL17_C01;NL;17;C01;consumption_MEUR;36867.0
NL18_C01;NL;18;C01;consumption_MEUR;37799.0
NL19_C01;NL;19;C01;consumption_MEUR;39602.0
NL20_C01;NL;20;C01;consumption_MEUR;44028.0
NL21_C01;NL;21;C01;consumption_MEUR;45062.0
NL22_C01;NL;22;C01;consumption_MEUR;49307.0
NL23_C01;NL;23;C01;consumption_MEUR;53143.0
AT10_C01;AT;10;C01;consumption_MEUR;15982.5
AT11_C01;AT;11;C01;consumption_MEUR;16617.3
AT12_C01;AT;12;C01;consumption_MEUR;17314.6
AT13_C01;AT;13;C01;consumption_MEUR;17943.6
AT14_C01;AT;14;C01;consumption_MEUR;18237.6
AT15_C01;AT;15;C01;consumption_MEUR;18642.6
AT16_C01;AT;16;C01;consumption_MEUR;18776.6
AT17_C01;AT;17;C01;consumption_MEUR;19525.5
AT18_C01;AT;18;C01;consumption_MEUR;20002.6
AT19_C01;AT;19;C01;consumption_MEUR;20362.5
AT20_C01;AT;20;C01;consumption_MEUR;22105.2
AT21_C01;AT;21;C01;consumption_MEUR;21760.0
AT22_C01;AT;22;C01;consumption_MEUR;23287.2
AT23_C01;AT;23;C01;consumption_MEUR;25294.4
PT10_C01;PT;10;C01;consumption_MEUR;19079.7
PT11_C01;PT;11;C01;consumption_MEUR;19424.1
PT12_C01;PT;12;C01;consumption_MEUR;19812.3
PT13_C01;PT;13;C01;consumption_MEUR;20397.2
PT14_C01;PT;14;C01;consumption_MEUR;20436.9
PT15_C01;PT;15;C01;consumption_MEUR;20991.3
PT16_C01;PT;16;C01;consumption_MEUR;21571.7
PT17_C01;PT;17;C01;consumption_MEUR;22425.1
PT18_C01;PT;18;C01;consumption_MEUR;23077.3
PT19_C01;PT;19;C01;consumption_MEUR;23766.9
PT20_C01;PT;20;C01;consumption_MEUR;24425.0
PT21_C01;PT;21;C01;consumption_MEUR;25787.0
PT22_C01;PT;22;C01;consumption_MEUR;29818.2
PT23_C01;PT;23;C01;consumption_MEUR;31867.33464633744
SI10_C01;SI;10;C01;consumption_MEUR;2971.8
SI11_C01;SI;11;C01;consumption_MEUR;3131.1
SI12_C01;SI;12;C01;consumption_MEUR;3212.7
SI13_C01;SI;13;C01;consumption_MEUR;3152.9
SI14_C01;SI;14;C01;consumption_MEUR;3135.0
SI15_C01;SI;15;C01;consumption_MEUR;3182.7
SI16_C01;SI;16;C01;consumption_MEUR;3261.2
SI17_C01;SI;17;C01;consumption_MEUR;3293.5
SI18_C01;SI;18;C01;consumption_MEUR;3425.8
SI19_C01;SI;19;C01;consumption_MEUR;3645.4
SI20_C01;SI;20;C01;consumption_MEUR;3710.5
SI21_C01;SI;21;C01;consumption_MEUR;3798.4
SI22_C01;SI;22;C01;consumption_MEUR;4555.0
SI23_C01;SI;23;C01;consumption_MEUR;4915.6
SE10_C01;SE;10;C01;consumption_MEUR;20217.5
SE11_C01;SE;11;C01;consumption_MEUR;21863.3
SE12_C01;SE;12;C01;consumption_MEUR;23751.3
SE13_C01;SE;13;C01;consumption_MEUR;24493.6
SE14_C01;SE;14;C01;consumption_MEUR;24095.1
SE15_C01;SE;15;C01;consumption_MEUR;24651.5
SE16_C01;SE;16;C01;consumption_MEUR;25475.6
SE17_C01;SE;17;C01;consumption_MEUR;25897.0
SE18_C01;SE;18;C01;consumption_MEUR;25856.0
SE19_C01;SE;19;C01;consumption_MEUR;25564.6
SE20_C01;SE;20;C01;consumption_MEUR;27471.5
SE21_C01;SE;21;C01;consumption_MEUR;29511.3
SE22_C01;SE;22;C01;consumption_MEUR;30444.5
SE23_C01;SE;23;C01;consumption_MEUR;30530.6
EU10_C02;EU;10;C02;consumption_MEUR;245120.0
EU11_C02;EU;11;C02;consumption_MEUR;252858.4
EU12_C02;EU;12;C02;consumption_MEUR;257443.2
EU13_C02;EU;13;C02;consumption_MEUR;257459.8
EU14_C02;EU;14;C02;consumption_MEUR;258683.2
EU15_C02;EU;15;C02;consumption_MEUR;265607.4
EU16_C02;EU;16;C02;consumption_MEUR;271920.9
EU17_C02;EU;17;C02;consumption_MEUR;277740.5
EU18_C02;EU;18;C02;consumption_MEUR;286542.4
EU19_C02;EU;19;C02;consumption_MEUR;293992.6
EU20_C02;EU;20;C02;consumption_MEUR;305749.7
EU21_C02;EU;21;C02;consumption_MEUR;317793.8
EU22_C02;EU;22;C02;consumption_MEUR;325663.6
EU23_C02;EU;23;C02;consumption_MEUR;339785.4
BE10_C02;BE;10;C02;consumption_MEUR;7418.0
BE11_C02;BE;11;C02;consumption_MEUR;7261.0
BE12_C02;BE;12;C02;consumption_MEUR;7518.3
BE13_C02;BE;13;C02;consumption_MEUR;7882.3
BE14_C02;BE;14;C02;consumption_MEUR;8343.6
BE15_C02;BE;15;C02;consumption_MEUR;8783.6
BE16_C02;BE;16;C02;consumption_MEUR;9213.1
BE17_C02;BE;17;C02;consumption_MEUR;9223.6
BE18_C02;BE;18;C02;consumption_MEUR;9696.6
BE19_C02;BE;19;C02;consumption_MEUR;10026.7
BE20_C02;BE;20;C02;consumption_MEUR;10267.1
BE21_C02;BE;21;C02;consumption_MEUR;10802.9
BE22_C02;BE;22;C02;consumption_MEUR;11296.5
BE23_C02;BE;23;C02;consumption_MEUR;11950.8
BG10_C02;BG;10;C02;consumption_MEUR;1864.4
BG11_C02;BG;11;C02;consumption_MEUR;1922.4
BG12_C02;BG;12;C02;consumption_MEUR;2122.4
BG13_C02;BG;13;C02;consumption_MEUR;1874.2
BG14_C02;BG;14;C02;consumption_MEUR;1565.5
BG15_C02;BG;15;C02;consumption_MEUR;1553.3
BG16_C02;BG;16;C02;consumption_MEUR;1643.1
BG17_C02;BG;17;C02;consumption_MEUR;1751.9
BG18_C02;BG;18;C02;consumption_MEUR;1862.6
BG19_C02;BG;19;C02;consumption_MEUR;2037.2
BG20_C02;BG;20;C02;consumption_MEUR;2057.5
BG21_C02;BG;21;C02;consumption_MEUR;2204.5
BG22_C02;BG;22;C02;consumption_MEUR;2478.4
BG23_C02;BG;23;C02;consumption_MEUR;2808.5
CZ10_C02;CZ;10;C02;consumption_MEUR;6353.1
CZ11_C02;CZ;11;C02;consumption_MEUR;6828.8
CZ12_C02;CZ;12;C02;consumption_MEUR;6771.3
CZ13_C02;CZ;13;C02;consumption_MEUR;6638.0
CZ14_C02;CZ;14;C02;consumption_MEUR;6393.5
CZ15_C02;CZ;15;C02;consumption_MEUR;6889.1
CZ16_C02;CZ;16;C02;consumption_MEUR;7118.8
CZ17_C02;CZ;17;C02;consumption_MEUR;7504.0
CZ18_C02;CZ;18;C02;consumption_MEUR;8249.3
CZ19_C02;CZ;19;C02;consumption_MEUR;8511.6
CZ20_C02;CZ;20;C02;consumption_MEUR;8237.2
CZ21_C02;CZ;21;C02;consumption_MEUR;9133.5
CZ22_C02;CZ;22;C02;consumption_MEUR;10116.4
CZ23_C02;CZ;23;C02;consumption_MEUR;10530.7
DK10_C02;DK;10;C02;consumption_MEUR;4205.8
DK11_C02;DK;11;C02;consumption_MEUR;4464.1
DK12_C02;DK;12;C02;consumption_MEUR;4497.1
DK13_C02;DK;13;C02;consumption_MEUR;4570.9
DK14_C02;DK;14;C02;consumption_MEUR;4558.7
DK15_C02;DK;15;C02;consumption_MEUR;4449.5
DK16_C02;DK;16;C02;consumption_MEUR;4530.6
DK17_C02;DK;17;C02;consumption_MEUR;4662.5
DK18_C02;DK;18;C02;consumption_MEUR;4705.5
DK19_C02;DK;19;C02;consumption_MEUR;4815.7
DK20_C02;DK;20;C02;consumption_MEUR;5066.4
DK21_C02;DK;21;C02;consumption_MEUR;5576.4
DK22_C02;DK;22;C02;consumption_MEUR;5500.2
DK23_C02;DK;23;C02;consumption_MEUR;5324.6
