indicator_ID;country_ID;year_ID;KPI_ID;value
BG19_SAVN;BG;19;SAVN;-441.0
BG19_SAVR;BG;19;SAVR;0.23
BG20_CON;BG;20;CON;35664.0
BG20_INC;BG;20;INC;34152.0
BG20_HVPI;BG;20;HVPI;106.0
BG20_INF;BG;20;INF;1.2
BG20_SAVN;BG;20;SAVN;-682.0
BG20_SAVR;BG;20;SAVR;-0.49
BG21_CON;BG;21;CON;41049.0
BG21_INC;BG;21;INC;37445.0
BG21_HVPI;BG;21;HVPI;109.0
BG21_INF;BG;21;INF;2.8
BG21_SAVN;BG;21;SAVN;-2635.0
BG21_SAVR;BG;21;SAVR;-5.46
BG22_CON;BG;22;CON;49457.0
BG22_INC;BG;22;INC;44859.0
BG22_HVPI;BG;22;HVPI;123.0
BG22_INF;BG;22;INF;13.0
BG22_SAVN;BG;22;SAVN;-3521.0
BG22_SAVR;BG;22;SAVR;-6.4
BG23_CON;BG;23;CON;52889.0
BG23_INC;BG;23;INC;48426.0
BG23_HVPI;BG;23;HVPI;134.0
BG23_INF;BG;23;INF;8.6
BG23_SAVN;BG;23;SAVN;-2785.0
BG23_SAVR;BG;23;SAVR;-6.106637151253768
CZ12_CON;CZ;12;CON;81065.0
CZ12_INC;CZ;12;INC;85749.0
CZ12_HVPI;CZ;12;HVPI;98.0
CZ12_INF;CZ;12;INF;3.5
CZ12_SAVN;CZ;12;SAVN;5263.0
CZ12_SAVR;CZ;12;SAVR;11.5
CZ13_CON;CZ;13;CON;79549.0
CZ13_INC;CZ;13;INC;82782.0
CZ13_HVPI;CZ;13;HVPI;99.0
CZ13_INF;CZ;13;INF;1.4
CZ13_SAVN;CZ;13;SAVN;4782.0
CZ13_SAVR;CZ;13;SAVR;11.06
CZ14_CON;CZ;14;CON;76935.0
CZ14_INC;CZ;14;INC;81080.0
CZ14_HVPI;CZ;14;HVPI;99.0
CZ14_INF;CZ;14;INF;0.4
CZ14_SAVN;CZ;14;SAVN;5503.0
CZ14_SAVR;CZ;14;SAVR;12.08
CZ15_CON;CZ;15;CON;80929.0
CZ15_INC;CZ;15;INC;84175.0
CZ15_HVPI;CZ;15;HVPI;100.0
CZ15_INF;CZ;15;INF;0.3
CZ15_SAVN;CZ;15;SAVN;4563.0
CZ15_SAVR;CZ;15;SAVR;11.01
CZ16_CON;CZ;16;CON;85425.0
CZ16_INC;CZ;16;INC;88239.0
CZ16_HVPI;CZ;16;HVPI;100.0
CZ16_INF;CZ;16;INF;0.6
CZ16_SAVN;CZ;16;SAVN;4024.0
CZ16_SAVR;CZ;16;SAVR;10.38
CZ17_CON;CZ;17;CON;94318.0
CZ17_INC;CZ;17;INC;97669.0
CZ17_HVPI;CZ;17;HVPI;103.0
CZ17_INF;CZ;17;INF;2.4
CZ17_SAVN;CZ;17;SAVN;4608.0
CZ17_SAVR;CZ;17;SAVR;10.6
CZ18_CON;CZ;18;CON;102946.0
CZ18_INC;CZ;18;INC;107534.0
CZ18_HVPI;CZ;18;HVPI;105.0
CZ18_INF;CZ;18;INF;2.0
CZ18_SAVN;CZ;18;SAVN;5999.0
CZ18_SAVR;CZ;18;SAVR;11.47
CZ19_CON;CZ;19;CON;109035.0
